[rtmp] sdk.squareup.com:1935
[] sdk.squareup.com:8863
[smtp] data-platform.squareup.com:25
[smtps] data-platform.squareup.com:465
[smtp] sdk.squareup.com:25
[smtps] sdk.squareup.com:465
[submission] data-platform.squareup.com:587
[submission] sdk.squareup.com:587
[su-mit-tg] data-platform.squareup.com:89
[su-mit-tg] sdk.squareup.com:89
[unknown] data-platform.squareup.com:8085
[unknown] data-platform.squareup.com:8089
[unknown] data-platform.squareup.com:8099
[unknown] sdk.squareup.com:8085
[unknown] sdk.squareup.com:8089
[unknown] sdk.squareup.com:8099
[vnc-1] data-platform.squareup.com:5901
[vnc-1] sdk.squareup.com:5901
[vnc] data-platform.squareup.com:5900
[vnc] sdk.squareup.com:5900
[wap-wsp] data-platform.squareup.com:9200
[wap-wsp] sdk.squareup.com:9200
[webobjects] data-platform.squareup.com:1085
[webobjects] sdk.squareup.com:1085
[whois] data-platform.squareup.com:43
[whois] sdk.squareup.com:43
[xmpp-client] data-platform.squareup.com:5222
[xmpp-client] sdk.squareup.com:5222
