[danf-ak2] salam.muslimpro.com:1041
[daytime] salam.muslimpro.com:13
[dc] salam.muslimpro.com:2001
[dcutility] salam.muslimpro.com:1044
[ddrepl] salam.muslimpro.com:4126
[ddt] salam.muslimpro.com:1052
[dec-notes] salam.muslimpro.com:3333
[dectalk] salam.muslimpro.com:2007
[deslogind] salam.muslimpro.com:3006
[deslogin] salam.muslimpro.com:2005
[deslogin] salam.muslimpro.com:3005
[device2] salam.muslimpro.com:2030
[device] salam.muslimpro.com:801
[dif-port] salam.muslimpro.com:2251
[discard] salam.muslimpro.com:9
[disclose] salam.muslimpro.com:667
[distinct32] salam.muslimpro.com:9998
[dlip] salam.muslimpro.com:7201
[dls-monitor] salam.muslimpro.com:2048
[dlsrpn] salam.muslimpro.com:2065
[dls] salam.muslimpro.com:2047
[dmidi] salam.muslimpro.com:1199
[dn6-nlm-aud] download2.muslimpro.com:195
[dn6-nlm-aud] download.muslimpro.com:195
[dnp] download2.muslimpro.com:20000
[dnp] download.muslimpro.com:20000
[dnp] salam.muslimpro.com:20000
[dnsix] salam.muslimpro.com:90
[dnx] salam.muslimpro.com:3998
[doceri-ctl] salam.muslimpro.com:7019
[documentum] salam.muslimpro.com:10002
[documentum_s] salam.muslimpro.com:10003
[domain] salam.muslimpro.com:53
[doom] salam.muslimpro.com:666
[dossier] salam.muslimpro.com:1175
[down] salam.muslimpro.com:2022
[dpm] salam.muslimpro.com:5718
[dproxy] salam.muslimpro.com:1296
[DragonIDSConsole] salam.muslimpro.com:9111
[drp] salam.muslimpro.com:1974
[dsc] salam.muslimpro.com:3390
[dsf] salam.muslimpro.com:555
[d-s-n] download2.muslimpro.com:8086
[d-s-n] download.muslimpro.com:8086
[d-s-n] salam.muslimpro.com:8086
[dsp] salam.muslimpro.com:33
[d-star] salam.muslimpro.com:9011
[dtspc] salam.muslimpro.com:6112
[dvs] salam.muslimpro.com:481
[dxmessagebase2] salam.muslimpro.com:2875
[dxspider] salam.muslimpro.com:8873
[dynamid] salam.muslimpro.com:9002
[echo] salam.muslimpro.com:7
[edonkey] salam.muslimpro.com:4662
[eklogin] salam.muslimpro.com:2105
[ekshell] salam.muslimpro.com:2106
[ekshell] salam.muslimpro.com:545
[elfiq-repl] salam.muslimpro.com:1148
[Elite] salam.muslimpro.com:31337
[elm-momentum] salam.muslimpro.com:1914
[emcads] salam.muslimpro.com:3945
[emcrmirccd] salam.muslimpro.com:10004
[encrypted_admin] salam.muslimpro.com:1138
[enl-name] salam.muslimpro.com:1805
[enpp] salam.muslimpro.com:2968
[eppc] salam.muslimpro.com:3031
[epp] download2.muslimpro.com:700
[epp] download.muslimpro.com:700
[epp] salam.muslimpro.com:700
[esl-lm] salam.muslimpro.com:1455
[esp] salam.muslimpro.com:6567
[esro-gen] salam.muslimpro.com:259
[etebac5] salam.muslimpro.com:1216
[EtherNetIP-1] salam.muslimpro.com:2222
[event_listener] salam.muslimpro.com:3017
[ewall] salam.muslimpro.com:1328
[exasoftport1] salam.muslimpro.com:3920
[excw] salam.muslimpro.com:1271
