[https] api-aa.paypal.com:443
[https] api-aa.sandbox.paypal.com:443
[https] api-aa.sandbox.pilot.paypal.com:443
[https] api-aa-v2.sandbox.paypal.com:443
[https] api.financing.paypal.com:443
[https] api.glb.paypal.com:443
[https] api-m-edge.glb.paypal.com:443
[https] api-m-fastly.glb.paypal.com:443
[https] api-m.glb.paypal.com:443
[https] api-m.paypal.com:443
[https] api-m.sandbox.paypal.com:443
[https] api-m-v2.sandbox.paypal.com:443
[https] api.paypal.com:443
[https] api.sandbox.paypal.com:443
[https] api.sandbox.pilot.paypal.com:443
[https] api-s.paypal.com:443
[https] api-s.sandbox.paypal.com:443
[https] api.stage.paypal.com:443
[https] api-s-v2.sandbox.paypal.com:443
[https] api.tsp.stage.paypal.com:443
[https] api-v2.sandbox.paypal.com:443
[https] arkose.paypal.com:443
[https] baas.stats.paypal.com:443
[https] balancepayout.paypal.com:443
[https] b.stats.paypal.com:443
[https] business.paypal.com:443
[https] business.sandbox.paypal.com:443
[https] business-signup.paypal.com:443
[https] business-v2.sandbox.paypal.com:443
[https] c6.glb.paypal.com:443
[https] c6.paypal.com:443
[https] ccg01-origin-api-1.paypal.com:443
[https] ccg01-origin-api-m-1.paypal.com:443
[https] ccg01-origin-www-1.paypal.com:443
[https] ccg01-origin-www-2.paypal.com:443
[https] ccg01-origin-www-3.paypal.com:443
[https] ccg01-origin-www-4.paypal.com:443
[https] ccg01-origin-www-5.paypal.com:443
[https] ccg01-origin-www-6.paypal.com:443
[https] ccg12-origin-api-1.paypal.com:443
[https] ccg13-origin-www.paypal.com:443
[https] ccg14-origin-www.paypal.com:443
[https] c-fastly.glb.paypal.com:443
[https] c.glb.paypal.com:443
[https] chd.stats.paypal.com:443
[https] checkout.paypal.com:443
[https] click.emails.paypal.com:443
[https] click.mktg1.paypal.com:443
[https] cloud.emails.paypal.com:443
[https] cloudmonitor10.paypal.com:443
[https] cloudmonitor11.paypal.com:443
[https] cloudmonitor12.paypal.com:443
[https] cloudmonitor13.paypal.com:443
[https] cloudmonitor14.paypal.com:443
[https] cloudmonitor15.paypal.com:443
[https] cloudmonitor16.paypal.com:443
[https] cloudmonitor17.paypal.com:443
[https] cloudmonitor18.paypal.com:443
[https] cloudmonitor19.paypal.com:443
[https] cloudmonitor1.paypal.com:443
[https] cloudmonitor20.paypal.com:443
[https] cloudmonitor21.paypal.com:443
[https] cloudmonitor2.paypal.com:443
[https] cloudmonitor3.paypal.com:443
[https] commerce.paypal.com:443
[https] commerce.sandbox.paypal.com:443
[https] cors.api.paypal.com:443
[https] cors.api.sandbox.paypal.com:443
[https] cors.api-v2.sandbox.paypal.com:443
[https] c.paypal.com:443
[https] creditapply.paypal.com:443
[https] credit.paypal.com:443
[https] c.sandbox.paypal.com:443
[https] c-v2.sandbox.paypal.com:443
[https] demo-cdn.glb.paypal.com:443
[https] demo.glb.paypal.com:443
[https] demo.paypal.com:443
[https] developer.glb.paypal.com:443
[https] developer.paypal.com:443
[https] dme-origin-www-1.paypal.com:443
[https] dme-origin-www-2.paypal.com:443
[https] dropzone.glb.paypal.com:443
[https] dropzone.paypal.com:443
[https] dub.stats.paypal.com:443
[http] securecards.paypal.com:80
[http] securepayments.paypal.com:80
[http] securepayments.sandbox.paypal.com:80
[http] securepayments-v2.sandbox.paypal.com:80
[http] secure.uninitialized.real.paypal.com:80
[http] SECURE.UNINITIALIZED.REAL.paypal.com:80
[https] financing.paypal.com:443
[https] fpdbs.paypal.com:443
[https] github-global.paypal.com:443
[https] history.paypal.com:443
[https] hnd.stats.paypal.com:443
[http] shopping.paypal.com:80
[https] image.emails.paypal.com:443
[https] images.payflowlink.paypal.com:443
[https] ipnpb.paypal.com:443
[https] ipnpb.sandbox.paypal.com:443
[https] ipnpb-v2.sandbox.paypal.com:443
[https] itsmail.paypal.com:443
[http] slc-a-origin-history-1.paypal.com:80
[http] slc-a-origin-history-2.paypal.com:80
[http] slc-a-origin-history.paypal.com:80
[http] slc-a-origin-pointofsale.paypal.com:80
[http] slc-b-origin-history-1.paypal.com:80
[http] slc-b-origin-history-2.paypal.com:80
[http] slc-b-origin-history.paypal.com:80
[http] slc-b-origin-pointofsale.paypal.com:80
[https] lvs.stats.paypal.com:443
[https] lyncdiscover.paypal.com:443
[https] mail.paypal.com:443
[https] manager.payflow.edge.paypal.com:443
[https] manager.paypal.com:443
[https] mftest5.test.paypal.com:443
[https] misc-redirect.paypal.com:443
[https] mobile.paypal.com:443
[https] m.paypal.com:443
[https] msoid.paypal.com:443
[https] onboarding.paypal.com:443
[https] origin-ad.paypal.com:443
[https] origin-history.paypal.com:443
[https] origin-processing.paypal.com:443
[https] partnermanager.paypal.com:443
[https] partner-monitoring.paypal.com:443
[https] payflowlink.payflow.edge.paypal.com:443
[https] payflowlink.paypal.com:443
[https] payflowpro.payflow.edge.paypal.com:443
[https] payflowpro.paypal.com:443
[https] payments-reports.paypal.com:443
[https] payouts.paypal.com:443
[https] paypal.com:443
[https] paypalmanager.paypal.com:443
[https] paypalmanager.sandbox.paypal.com:443
[https] pep.paypal.com:443
[https] petition.paypal.com:443
[https] phx-origin-api-m.paypal.com:443
[https] phx-origin-api-s.paypal.com:443
[https] phx-origin-c.paypal.com:443
[https] phx-origin-demo.paypal.com:443
[https] phx-origin-history-1.paypal.com:443
[https] phx-origin-history-2.paypal.com:443
[https] phx-origin-history.paypal.com:443
[https] phx-origin-mediaproxyweb.paypal.com:443
[https] phx-origin-mobile-1.paypal.com:443
[https] phx-origin-mobile-2.paypal.com:443
[https] phx-origin-mobile.paypal.com:443
[https] phx-origin-pointofsale.paypal.com:443
[https] phx-origin-posprivate-api-3t.paypal.com:443
[https] phx-origin-posprivate-api.paypal.com:443
[https] phx-origin-posprivate.paypal.com:443
[https] phx-origin-posprivate-svcs.paypal.com:443
[https] phx-origin-posprivatevpn-api-3t.paypal.com:443
[https] phx-origin-posprivatevpn-api.paypal.com:443
[https] phx-origin-posprivatevpn.paypal.com:443
[https] phx-origin-posprivatevpn-svcs.paypal.com:443
[https] phx-origin-t.paypal.com:443
[https] phx-origin-www-1.paypal.com:443
[https] phx-origin-www-2.paypal.com:443
[https] phx-origin-www-3.paypal.com:443
[https] phx-origin-www.paypal.com:443
[https] pics.paypal.com:443
[https] pics.sandbox.paypal.com:443
[https] pics-v2.sandbox.paypal.com:443
[https] pilot-payflowlink.payflow.edge.paypal.com:443
[https] pilot-payflowlink.paypal.com:443
[https] pilot-payflowpro.payflow.edge.paypal.com:443
[https] pilot-payflowpro.paypal.com:443
[https] pns.paypal.com:443
[https] pointofsale.paypal.com:443
[https] pointofsale.sandbox.paypal.com:443
[https] pointofsale-s.paypal.com:443
[https] postcollector.paypal.com:443
[https] p.paypal.com:443
[https] ppo.glb.paypal.com:443
[https] ppo-ru.glb.paypal.com:443
[https] qwac.paypal.com:443
[https] registration.paypal.com:443
[https] riskdataserv.phx.paypal.com:443
[https] safebreach.paypal.com:443
