[http] xenos.opera.software:80
[ies-lm] screw.opera.software:1443
[ies-lm] trial-ci-cdn.osp.opera.software:1443
[imap] screw.opera.software:143
[imaps] screw.opera.software:993
[imaps] trial-ci-cdn.osp.opera.software:993
[imap] trial-ci-cdn.osp.opera.software:143
[jetdirect] screw.opera.software:9100
[jetdirect] trial-ci-cdn.osp.opera.software:9100
[memcache] screw.opera.software:11211
[mit-ml-dev] screw.opera.software:83
[mit-ml-dev] screw.opera.software:85
[mit-ml-dev] trial-ci-cdn.osp.opera.software:83
[mit-ml-dev] trial-ci-cdn.osp.opera.software:85
[mqtt] screw.opera.software:1883
[ms-wbt-server] screw.opera.software:3389
[ms-wbt-server] trial-ci-cdn.osp.opera.software:3389
[ncd-conf] screw.opera.software:5999
[ncd-conf] trial-ci-cdn.osp.opera.software:5999
[ndmps] screw.opera.software:30000
[ndmps] trial-ci-cdn.osp.opera.software:30000
[opsmessaging] screw.opera.software:8090
[opsmessaging] trial-ci-cdn.osp.opera.software:8090
[pop3] screw.opera.software:110
[pop3s] screw.opera.software:995
[pop3s] trial-ci-cdn.osp.opera.software:995
[pop3] trial-ci-cdn.osp.opera.software:110
[postgresql] screw.opera.software:5432
[postgresql] trial-ci-cdn.osp.opera.software:5432
[radan-http] screw.opera.software:8088
[radan-http] trial-ci-cdn.osp.opera.software:8088
[redis] screw.opera.software:6379
[rtmp] screw.opera.software:1935
[rtmp] trial-ci-cdn.osp.opera.software:1935
[samba-swat] sg3.opera.software:901
[] screw.opera.software:8863
[smtp] mxi.opera.software:25
[smtp] screw.opera.software:25
[smtps] screw.opera.software:465
[smtps] trial-ci-cdn.osp.opera.software:465
[smtp] trial-ci-cdn.osp.opera.software:25
[sometimes-rpc19] sg3.opera.software:32778
[ssh] admin.speeddials.opera.software:22
[ssh] airflow-dev.osp.opera.software:22
[ssh] airflow-legacy.osp.opera.software:22
[ssh] airflow.osp.opera.software:22
[ssh] aws.opera.software:22
[ssh] bbui.android.opera.software:22
[ssh] bream-dev.opera.software:22
[ssh] bream.opera.software:22
[ssh] buildbot-dev.opera.software:22
[ssh] buildbot.opera.software:22
[ssh] dns-ui.opera.software:22
[ssh] era.opera.software:22
[ssh] fai-singa.opera.software:22
[ssh] feednews-viewer.opera.software:22
[ssh] footer.opera.software:22
[ssh] geodns-nl.opera.software:22
[ssh] geodns.opera.software:22
[ssh] geodns.route53.opera.software:22
[ssh] geodns-us.opera.software:22
[ssh] gitlab.opera.software:22
[ssh] graylog.opera.software:22
[ssh] hoardr.opera.software:22
[ssh] install.opera.software:22
[ssh] lati-otp.opera.software:22
[ssh] mailing-list.opera.software:22
[ssh] mobsf.opera.software:22
[ssh] nessus.opera.software:22
[ssh] n-infra-affive.opera.software:22
[ssh] ofa.android.opera.software:22
[ssh] otp.opera.software:22
[ssh] password.opera.software:22
[ssh] pns.opera.software:22
[ssh] redash.opera.software:22
[ssh] request.opera.software:22
[ssh] sadb.opera.software:22
[ssh] security.opera.software:22
[ssh] sg1.opera.software:22
[ssh] sg2.opera.software:22
[ssh] sg3.opera.software:22
[ssh] sonarqube.opera.software:22
[ssh] syslog-ash.opera.software:22
[ssh] usernames.opera.software:22
[ssh] vault.opera.software:22
[ssh] xenos.opera.software:22
[submission] mxi.opera.software:587
[submission] screw.opera.software:587
[submission] trial-ci-cdn.osp.opera.software:587
[su-mit-tg] screw.opera.software:89
[su-mit-tg] trial-ci-cdn.osp.opera.software:89
[unknown] screw.opera.software:8085
[unknown] screw.opera.software:8089
[unknown] screw.opera.software:8099
[unknown] sg3.opera.software:49154
[unknown] trial-ci-cdn.osp.opera.software:8085
[unknown] trial-ci-cdn.osp.opera.software:8089
[unknown] trial-ci-cdn.osp.opera.software:8099
[vnc-1] screw.opera.software:5901
[vnc-1] trial-ci-cdn.osp.opera.software:5901
[vnc] screw.opera.software:5900
[vnc] trial-ci-cdn.osp.opera.software:5900
[wap-wsp] screw.opera.software:9200
[wap-wsp] trial-ci-cdn.osp.opera.software:9200
[webobjects] screw.opera.software:1085
[webobjects] trial-ci-cdn.osp.opera.software:1085
[whois] screw.opera.software:43
[whois] trial-ci-cdn.osp.opera.software:43
[xmpp-client] screw.opera.software:5222
[xmpp-client] trial-ci-cdn.osp.opera.software:5222
