[http-proxy] bingo.paddypower.com:8080
[http-proxy] blog.paddypower.com:8080
[http-proxy] bts.paddypower.com:8080
[http-proxy] bvp.paddypower.com:8080
[http-proxy] cbs.paddypower.com:8080
[http-proxy] clientmetrics.paddypower.com:8080
[http-proxy] clientmetricstst.paddypower.com:8080
[http-proxy] cro.paddypower.com:8080
[http-proxy] fantasy.paddypower.com:8080
[http-proxy] fcq.paddypower.com:8080
[http-proxy] frc.paddypower.com:8080
[http-proxy] games.paddypower.com:8080
[http-proxy] gfe.paddypower.com:8080
[http-proxy] gfs.paddypower.com:8080
[http-proxy] gmd.paddypower.com:8080
[http-proxy] gmw.paddypower.com:8080
[http-proxy] gwb.paddypower.com:8080
[http-proxy] helpcenter.paddypower.com:8080
[http-proxy] identitysso.paddypower.com:8080
[http-proxy] ips.paddypower.com:8080
[http-proxy] launcher.paddypower.com:8080
[http-proxy] livecasino.paddypower.com:8080
[http-proxy] locator.paddypower.com:8080
[http-proxy] maintenance.paddypower.com:8080
[http-proxy] mbingo.paddypower.com:8080
[http-proxy] mcasino.paddypower.com:8080
[http-proxy] media.paddypower.com:8080
[http-proxy] messaging.paddypower.com:8080
[http-proxy] mga.paddypower.com:8080
[http-proxy] mgw.paddypower.com:8080
[http-proxy] mpoker.paddypower.com:8080
[http-proxy] myaccount.paddypower.com:8080
[http-proxy] myactivity.paddypower.com:8080
[http-proxy] myfunds.paddypower.com:8080
[http-proxy] mypromos.paddypower.com:8080
[http-proxy] news.paddypower.com:8080
[http-proxy] osg.paddypower.com:8080
[http-proxy] paddypower.com:8080
[http-proxy] partnerships.paddypower.com:8080
[http-proxy] pcmspp.paddypower.com:8080
[http-proxy] playerhistory.paddypower.com:8080
[http-proxy] playerprotection.paddypower.com:8080
[http-proxy] playersclub.paddypower.com:8080
[http-proxy] play.paddypower.com:8080
[http-proxy] poker.paddypower.com:8080
[http-proxy] promos.paddypower.com:8080
[http-proxy] promotions.paddypower.com:8080
[http-proxy] push-subscription.paddypower.com:8080
[http-proxy] register.paddypower.com:8080
[http-proxy] regstat.paddypower.com:8080
[http-proxy] sco.paddypower.com:8080
[http-proxy] ser.paddypower.com:8080
[http-proxy] shl.paddypower.com:8080
[http-proxy] sib.paddypower.com:8080
[http-proxy] smp.paddypower.com:8080
[http-proxy] spb.paddypower.com:8080
[http-proxy] splash.paddypower.com:8080
[http-proxy] sportsbook-api.paddypower.com:8080
[http-proxy] sportsgaming.paddypower.com:8080
[http-proxy] ssc.paddypower.com:8080
[http-proxy] strands.paddypower.com:8080
[http-proxy] upload.paddypower.com:8080
[http-proxy] usp.paddypower.com:8080
[http-proxy] vegas.paddypower.com:8080
[http-proxy] vqa.paddypower.com:8080
[http-proxy] vra.paddypower.com:8080
[http-proxy] was.paddypower.com:8080
[http-proxy] ws.paddypower.com:8080
[http-proxy] www.paddypower.com:8080
[http] push-subscription.paddypower.com:80
[http] rdr.lb.paddypower.com:80
[http] rdr.paddypower.com:80
[http] redirect.paddypower.com:80
[http] register.lb.paddypower.com:80
[http] register.paddypower.com:80
[http] regstat.paddypower.com:80
[http] rgi.paddypower.com:80
[http] rt1-m.auto.paddypower.com:80
[http] rt1-t.auto.paddypower.com:80
[http] rt2-m.auto.paddypower.com:80
[http] rt2-t.auto.paddypower.com:80
[http] rt3-m.auto.paddypower.com:80
[http] rt3-t.auto.paddypower.com:80
[http] rt4-m.auto.paddypower.com:80
[http] rt4-t.auto.paddypower.com:80
[http] rt5-m.auto.paddypower.com:80
[http] rt5-t.auto.paddypower.com:80
[http] rt6-m.auto.paddypower.com:80
[http] rt6-t.auto.paddypower.com:80
[https] account-messaging.paddypower.com:443
[https-alt] account-messaging.paddypower.com:8443
[https-alt] amspp.paddypower.com:8443
[https-alt] android-download.paddypower.com:8443
[https-alt] apismsios.paddypower.com:8443
[https-alt] assets.paddypower.com:8443
[https-alt] bgf.paddypower.com:8443
[https-alt] bgi.paddypower.com:8443
[https-alt] bingo.paddypower.com:8443
[https-alt] blog.paddypower.com:8443
[https-alt] bts.paddypower.com:8443
[https-alt] bvp.paddypower.com:8443
[https-alt] cbs.paddypower.com:8443
[https-alt] clientmetrics.paddypower.com:8443
[https-alt] clientmetricstst.paddypower.com:8443
[https-alt] cro.paddypower.com:8443
[https-alt] fantasy.paddypower.com:8443
[https-alt] fcq.paddypower.com:8443
[https-alt] frc.paddypower.com:8443
[https-alt] games.paddypower.com:8443
[https-alt] gfe.paddypower.com:8443
[https-alt] gfs.paddypower.com:8443
[https-alt] gmd.paddypower.com:8443
[https-alt] gmw.paddypower.com:8443
[https-alt] gwb.paddypower.com:8443
[https-alt] helpcenter.paddypower.com:8443
[https-alt] identitysso.paddypower.com:8443
[https-alt] ips.paddypower.com:8443
[https-alt] launcher.paddypower.com:8443
[https-alt] livecasino.paddypower.com:8443
[https-alt] locator.paddypower.com:8443
[https-alt] maintenance.paddypower.com:8443
[https-alt] mbingo.paddypower.com:8443
[https-alt] mcasino.paddypower.com:8443
[https-alt] media.paddypower.com:8443
[https-alt] messaging.paddypower.com:8443
[https-alt] mga.paddypower.com:8443
[https-alt] mgw.paddypower.com:8443
[https-alt] mpoker.paddypower.com:8443
[https-alt] myaccount.paddypower.com:8443
[https-alt] myactivity.paddypower.com:8443
[https-alt] myfunds.paddypower.com:8443
[https-alt] mypromos.paddypower.com:8443
[https-alt] news.paddypower.com:8443
[https-alt] osg.paddypower.com:8443
[https-alt] paddypower.com:8443
[https-alt] partnerships.paddypower.com:8443
[https-alt] pcmspp.paddypower.com:8443
[https-alt] playerhistory.paddypower.com:8443
[https-alt] playerprotection.paddypower.com:8443
[https-alt] playersclub.paddypower.com:8443
[https-alt] play.paddypower.com:8443
[https-alt] poker.paddypower.com:8443
[https-alt] promos.paddypower.com:8443
[https-alt] promotions.paddypower.com:8443
[https-alt] push-subscription.paddypower.com:8443
[https-alt] register.paddypower.com:8443
[https-alt] sco.paddypower.com:8443
[https-alt] ser.paddypower.com:8443
[https-alt] shl.paddypower.com:8443
[https-alt] sib.paddypower.com:8443
[https-alt] smp.paddypower.com:8443
[https-alt] spb.paddypower.com:8443
[https-alt] splash.paddypower.com:8443
[https-alt] sportsbook-api.paddypower.com:8443
[https-alt] sportsgaming.paddypower.com:8443
[https-alt] ssc.paddypower.com:8443
[https-alt] strands.paddypower.com:8443
[https-alt] upload.paddypower.com:8443
[https-alt] usp.paddypower.com:8443
[https-alt] vegas.paddypower.com:8443
[https-alt] vqa.paddypower.com:8443
[https-alt] vra.paddypower.com:8443
[https-alt] was.paddypower.com:8443
[https-alt] ws.paddypower.com:8443
[https-alt] www.paddypower.com:8443
[https] amspp.paddypower.com:443
[https] android-download.paddypower.com:443
[https] apa.paddypower.com:443
[https] apapp.paddypower.com:443
[https] apismsios.paddypower.com:443
[https] arkle.ext.paddypower.com:443
[https] as.ext.paddypower.com:443
[https] as.paddypower.com:443
[https] assets.lb.paddypower.com:443
[https] assets.paddypower.com:443
[https] beatthedrop.paddypower.com:443
[https] beatthekeeper.paddypower.com:443
[https] bet-calculator.paddypower.com:443
[https] betcalculator.paddypower.com:443
[https] bgf.paddypower.com:443
[https] bgi.lb.paddypower.com:443
[https] bgi.paddypower.com:443
[https] bingo.paddypower.com:443
[https] blog.paddypower.com:443
[https] bts.lb.paddypower.com:443
[https] bts.paddypower.com:443
[https] bvp.paddypower.com:443
[https] cache.download.banner.livecasino.paddypower.com:443
[https] cbs.paddypower.com:443
[https] ccc.paddypower.com:443
[https] clientmetrics.paddypower.com:443
[https] clientmetricstst.paddypower.com:443
[http] sco.paddypower.com:80
[https] cro.paddypower.com:443
[https] design.paddypower.com:443
[https] dialin.paddypower.com:443
[http] ser.paddypower.com:80
[https] fantasy.paddypower.com:443
[https] fcq.lb.paddypower.com:443
[https] fcq.paddypower.com:443
[https] frc.lb.paddypower.com:443
[https] frc.paddypower.com:443
[https] games.paddypower.com:443
[https] gap.lb.paddypower.com:443
[https] gap.paddypower.com:443
[https] gfe.lb.paddypower.com:443
[https] gfe.paddypower.com:443
[https] gfs.paddypower.com:443
[https] gmd.paddypower.com:443
[https] gmw.paddypower.com:443
[https] gwb.lb.paddypower.com:443
[https] gwb.paddypower.com:443
[https] helpcenter.paddypower.com:443
[https] hitthespot.paddypower.com:443
[http] shl.paddypower.com:80
[https] hlppp.lb.paddypower.com:443
[http] sib.lb.paddypower.com:80
[http] sib.paddypower.com:80
[https] identitysso.lb.paddypower.com:443
[https] identitysso.paddypower.com:443
[https] ie1-assets.paddypower.com:443
[https] ie1-bgi.paddypower.com:443
[https] ie1-bts.paddypower.com:443
[https] ie1-fcq.paddypower.com:443
