[https] ticktrade.binary.com:443
[https] tradingview.binary.com:443
[http] style.binary.com:80
[https] webtrader.binary.com:443
[https] www.binary.com:443
[http] tech.binary.com:80
[http] ticktrade.binary.com:80
[http] tradingview.binary.com:80
[http] webtrader.binary.com:80
[http] www.binary.com:80
[ies-lm] info.binary.com:1443
[imap] info.binary.com:143
[imaps] info.binary.com:993
[jetdirect] info.binary.com:9100
[memcache] info.binary.com:11211
[mit-ml-dev] info.binary.com:83
[mit-ml-dev] info.binary.com:85
[mqtt] info.binary.com:1883
[ms-wbt-server] info.binary.com:3389
[ncd-conf] info.binary.com:5999
[ndmps] info.binary.com:30000
[opsmessaging] info.binary.com:8090
[pop3] info.binary.com:110
[pop3s] info.binary.com:995
[postgresql] info.binary.com:5432
[priv-term-l] info.binary.com:87
[radan-http] info.binary.com:8088
[redis] info.binary.com:6379
[rtmp] info.binary.com:1935
[smtp] info.binary.com:25
[smtps] info.binary.com:465
[submission] info.binary.com:587
[su-mit-tg] info.binary.com:89
[unknown] info.binary.com:8085
[unknown] info.binary.com:8089
[unknown] info.binary.com:8099
[vnc-1] info.binary.com:5901
[vnc] info.binary.com:5900
[wap-wsp] info.binary.com:9200
[webobjects] info.binary.com:1085
[whois] info.binary.com:43
[XmlIpcRegSvc] info.binary.com:9092
[xmpp-client] info.binary.com:5222
