[cvd] tourdefrance.unibet.com:8400
[cvspserver] tourdefrance.unibet.com:2401
[dandv-tester] tourdefrance.unibet.com:3889
[danf-ak2] tourdefrance.unibet.com:1041
[daytime] tourdefrance.unibet.com:13
[dc] tourdefrance.unibet.com:2001
[dcutility] tourdefrance.unibet.com:1044
[ddrepl] tourdefrance.unibet.com:4126
[ddt] tourdefrance.unibet.com:1052
[dec-notes] tourdefrance.unibet.com:3333
[dectalk] tourdefrance.unibet.com:2007
[deslogind] tourdefrance.unibet.com:3006
[deslogin] tourdefrance.unibet.com:2005
[deslogin] tourdefrance.unibet.com:3005
[device2] tourdefrance.unibet.com:2030
[device] tourdefrance.unibet.com:801
[dif-port] tourdefrance.unibet.com:2251
[discard] tourdefrance.unibet.com:9
[disclose] tourdefrance.unibet.com:667
[distinct32] tourdefrance.unibet.com:9998
[dlip] tourdefrance.unibet.com:7201
[dls-monitor] tourdefrance.unibet.com:2048
[dlsrpn] tourdefrance.unibet.com:2065
[dls] tourdefrance.unibet.com:2047
[dmidi] tourdefrance.unibet.com:1199
[dnp] tourdefrance.unibet.com:20000
[dnsix] tourdefrance.unibet.com:90
[dnx] tourdefrance.unibet.com:3998
[doceri-ctl] tourdefrance.unibet.com:7019
[documentum_s] tourdefrance.unibet.com:10003
[documentum] tourdefrance.unibet.com:10002
[domain] tourdefrance.unibet.com:53
[doom] tourdefrance.unibet.com:666
[dossier] tourdefrance.unibet.com:1175
[down] tourdefrance.unibet.com:2022
[dpm] tourdefrance.unibet.com:5718
[dproxy] tourdefrance.unibet.com:1296
[DragonIDSConsole] tourdefrance.unibet.com:9111
[drp] tourdefrance.unibet.com:1974
[dsc] tourdefrance.unibet.com:3390
[dsf] tourdefrance.unibet.com:555
[d-s-n] tourdefrance.unibet.com:8086
[dsp] tourdefrance.unibet.com:33
[d-star] tourdefrance.unibet.com:9011
[dtspc] tourdefrance.unibet.com:6112
[dvs] tourdefrance.unibet.com:481
[dxmessagebase2] tourdefrance.unibet.com:2875
[dxspider] tourdefrance.unibet.com:8873
[dynamid] tourdefrance.unibet.com:9002
[echo] tourdefrance.unibet.com:7
[edonkey] tourdefrance.unibet.com:4662
[eklogin] tourdefrance.unibet.com:2105
[ekshell] tourdefrance.unibet.com:2106
[ekshell] tourdefrance.unibet.com:545
[elfiq-repl] tourdefrance.unibet.com:1148
[Elite] tourdefrance.unibet.com:31337
[elm-momentum] tourdefrance.unibet.com:1914
[emcads] tourdefrance.unibet.com:3945
[emcrmirccd] tourdefrance.unibet.com:10004
[encrypted_admin] tourdefrance.unibet.com:1138
[enl-name] tourdefrance.unibet.com:1805
[enpp] tourdefrance.unibet.com:2968
[eppc] tourdefrance.unibet.com:3031
[epp] tourdefrance.unibet.com:700
[esl-lm] tourdefrance.unibet.com:1455
[esp] tourdefrance.unibet.com:6567
[esro-gen] tourdefrance.unibet.com:259
[etebac5] tourdefrance.unibet.com:1216
[EtherNetIP-1] ftp1.pio.unibet.com:2222
[EtherNetIP-1] sftp1.unibet.com:2222
[EtherNetIP-1] tourdefrance.unibet.com:2222
[event_listener] tourdefrance.unibet.com:3017
[ewall] tourdefrance.unibet.com:1328
[exasoftport1] tourdefrance.unibet.com:3920
[excw] tourdefrance.unibet.com:1271
[exec] tourdefrance.unibet.com:512
[exp1] tourdefrance.unibet.com:1021
[exp2] tourdefrance.unibet.com:1022
[eyetv] tourdefrance.unibet.com:2170
[ff-annunc] tourdefrance.unibet.com:1089
[ff-fms] tourdefrance.unibet.com:1090
[ff-sm] tourdefrance.unibet.com:1091
[filemaker] tourdefrance.unibet.com:5003
[filenet-rpc] tourdefrance.unibet.com:32769
[filenet-tms] tourdefrance.unibet.com:32768
[finger] tourdefrance.unibet.com:2003
[finger] tourdefrance.unibet.com:79
[fj-hdnet] tourdefrance.unibet.com:1717
