[http] hcaptcha-js.ecosec.on.epicgames.com:80
[http] hcaptcha-reportapi.ecosec.on.epicgames.com:80
[http] help.epicgames.com:80
[http] horde-storage.2021-2.us-east-1.devtools.epicgames.com:80
[http] horde-storage.2021-2.us-west-2.devtools.epicgames.com:80
[http] horizon.epicgames.com:80
[http] image.news.epicgames.com:80
[http] jira.it-entapps-dev.epicgames.com:80
[http] jira.operations.it.epicgames.com:80
[http] jira.stage.it.epicgames.com:80
[http] jupiter.2021-2.eu-central-1.devtools.epicgames.com:80
[http] jupiter.devtools-dev.epicgames.com:80
[http] jupiter.devtools.epicgames.com:80
[http] koala-ci.fnsocial.on.epicgames.com:80
[http] launcherhelp.epicgames.com:80
[http] launcher-public-service-prod06.ol.epicgames.com:80
[http] launcher-public-service-prod-m.ol.epicgames.com:80
[http] launcher.store.epicgames.com:80
[http] launcher-website-prod07.ol.epicgames.com:80
[http] launcher-website-prod.ak.epicgames.com:80
[http] lightswitch-public-service-prod06.ol.epicgames.com:80
[http] lightswitch-public-service-prod.ol.epicgames.com:80
[http] link.epicgames.com:80
[http] lyncdiscover.epicgames.com:80
[http] mail.epicgames.com:80
[http] maintenance.epicgames.com:80
[http] marketplace-website-node-launcher-prod.ol.epicgames.com:80
[http] mars-apigw.it-entapps-dev.epicgames.com:80
[http] mars-apigw.stage.it.epicgames.com:80
[http] media-cdn.epicgames.com:80
[http] mesh-public-service-livecn.ol.epicgames.com:80
[http] mesh-public-service-live.ol.epicgames.com:80
[http] mesh-public-service-loadtest.ol.epicgames.com:80
[http] mesh-public-service-prod.ol.epicgames.com:80
[http] mesh-public-service-stage.ol.epicgames.com:80
[http] metric-public-service-prod.ol.epicgames.com:80
[http] mw-greenhouse-service-prod.debc.live.use1a.on.epicgames.com:80
[http] nelly-service-prod-akamai.ecosec.on.epicgames.com:80
[http] nelly-service-prod-cloudflare.ecosec.on.epicgames.com:80
[http] nelly-service-prod-fastly.ecosec.on.epicgames.com:80
[http] notifications-service-prod06.ol.epicgames.com:80
[http] notifications-service-prod12lt.ol.epicgames.com:80
[http] notifications-service-prod12test.ol.epicgames.com:80
[http] orioncontent-prod07.ol.epicgames.com:80
[http] paragonhelp.epicgames.com:80
[http] platypus-ci.fnsocial.on.epicgames.com:80
[http] postparty-cdn-gamedev.gs.epicgames.com:80
[http] prm-dialogue-public-api-prod.ak.epicgames.com:80
[http-proxy] caldera-service-prod.ecosec.on.epicgames.com:8080
[http-proxy] engineering.epicgames.com:8080
[http-proxy] fg-matchmaking-public-service-live-a.ol.epicgames.com:8080
[http-proxy] hcaptcha-api.ecosec.on.epicgames.com:8080
[http-proxy] hcaptcha-assets.ecosec.on.epicgames.com:8080
[http-proxy] hcaptcha-endpoint.ecosec.on.epicgames.com:8080
[http-proxy] hcaptcha-imgs.ecosec.on.epicgames.com:8080
[http-proxy] hcaptcha-js.ecosec.on.epicgames.com:8080
[http-proxy] hcaptcha-reportapi.ecosec.on.epicgames.com:8080
[http-proxy] nelly-service-prod-cloudflare.ecosec.on.epicgames.com:8080
[http-proxy] talon-service-prod.ecosec.on.epicgames.com:8080
[http-proxy] talon-website-prod.ecosec.on.epicgames.com:8080
[http-proxy] vfxfellowship.epicgames.com:8080
[http-proxy] weighted-www-zh.epicgames.com:8080
[http-proxy] weighted-zh-accounts.epicgames.com:8080
[http-proxy] weighted-zh-graphql.epicgames.com:8080
[http-proxy] weighted-zh-store.epicgames.com:8080
[http-proxy] www-zh-waf.epicgames.com:8080
[http] qos4.ol.epicgames.com:80
[http] redirect.epicgames.com:80
[http] remotework.epicgames.com:80
[http] resource-api.artpipeline-dev.it.epicgames.com:80
[http] resource-api-prod.artpipeline-dev.it.epicgames.com:80
[https] acc-launcher-public-service-prod06.ol.epicgames.com:443
[https] accounthelp.epicgames.com:443
[https] accountportal-website-prod07.ol.epicgames.com:443
[https] account-public-service-prod03.ol.epicgames.com:443
[https] account-public-service-prod.ak.epicgames.com:443
[https] account-public-service-prod-m.ol.epicgames.com:443
[https] account-public-service-prod.ol.epicgames.com:443
[https] accounts.epicgames.com:443
[https] accounts.epicgames-stage.ol.epicgames.com:443
[https] accounts.launcher-website-prod07.ol.epicgames.com:443
[https] accts.epicgames.com:443
[https] affiliate-public-service-prod.ol.epicgames.com:443
[https-alt] caldera-service-prod.ecosec.on.epicgames.com:8443
[https-alt] engineering.epicgames.com:8443
[https-alt] hcaptcha-api.ecosec.on.epicgames.com:8443
[https-alt] hcaptcha-assets.ecosec.on.epicgames.com:8443
[https-alt] hcaptcha-endpoint.ecosec.on.epicgames.com:8443
[https-alt] hcaptcha-imgs.ecosec.on.epicgames.com:8443
[https-alt] hcaptcha-js.ecosec.on.epicgames.com:8443
[https-alt] hcaptcha-reportapi.ecosec.on.epicgames.com:8443
[https-alt] mesh-public-service-live.ak.epicgames.com:8443
[https-alt] nelly-service-prod-cloudflare.ecosec.on.epicgames.com:8443
[https-alt] store.epicgames.com:8443
[https-alt] talon-service-prod.ecosec.on.epicgames.com:8443
[https-alt] talon-website-prod.ecosec.on.epicgames.com:8443
[https-alt] unrealbugsubmissions.epicgames.com:8443
[https-alt] unrealenginehelp.epicgames.com:8443
[https-alt] weighted-www-zh.epicgames.com:8443
[https-alt] weighted-zh-accounts.epicgames.com:8443
[https-alt] weighted-zh-graphql.epicgames.com:8443
[https-alt] weighted-zh-store.epicgames.com:8443
[https-alt] www-zh-waf.epicgames.com:8443
[https] aop-configs.beef.live.use1a.on.epicgames.com:443
[https] apacudn.epicgames.com:443
[https] api.lt.qstv.on.epicgames.com:443
[https] app.epicgames.com:443
[https] app.epicgames-prod.ol.epicgames.com:443
[https] approval-bot-3.eut.it.epicgames.com:443
[https] approval-bot.eut.it.epicgames.com:443
[https] approval-bot.it-entapps-dev.epicgames.com:443
[https] approval-bot.it.epicgames.com:443
[https] approval-bot.stage.it.epicgames.com:443
[https] auth-api.artpipeline-dev.it.epicgames.com:443
[https] auth-api-prod.artpipeline-dev.it.epicgames.com:443
[https] battlebreakershelp.epicgames.com:443
[https] battlebreakers-live-cdn.ol.epicgames.com:443
[https] bpt.dev.epicgames.com:443
[https] bpt-rc.dev.epicgames.com:443
[https] brand.epicgames.com:443
[https] caldera-service-prod.ecosec.on.epicgames.com:443
[https] calendar.epicgames.com:443
[https] careers.epicgames.com:443
[https] catalog-public-service-prod06.ol.epicgames.com:443
[https] catalog-public-service-prod.ak.epicgames.com:443
[https] catalog-public-service-prod-m.ol.epicgames.com:443
[https] cdn-0001.qstv.on.epicgames.com:443
[https] cdn1-dest.epicgames.com:443
