[https] ccc.betfair.ro:443
[https] cloud.betfair.ro:443
[http] sco.betfair.ro:80
[https] cro.betfair.ro:443
[https] ero.betfair.ro:443
[https] etx.betfair.ro:443
[https] fcq-service.betfair.ro:443
[https] games.betfair.ro:443
[https] gfe.betfair.ro:443
[https] gmd.betfair.ro:443
[https] graphs.betfair.ro:443
[http] sib.betfair.ro:80
[https] identitysso.betfair.ro:443
[http] simulator.betfair.ro:80
[https] ips.betfair.ro:443
[https] jocresponsabil.betfair.ro:443
[https] launcher.betfair.ro:443
[https] lbr.betfair.ro:443
[https] livevideo.betfair.ro:443
[https] maintenance.betfair.ro:443
[https] m.betfair.ro:443
[http] smd.betfair.ro:80
[https] messaging.betfair.ro:443
[https] m.mail.betfair.ro:443
[http] smp.betfair.ro:80
[http] smt.betfair.ro:80
[https] myacc.betfair.ro:443
[https] myaccount.betfair.ro:443
[https] myactivity.betfair.ro:443
[https] mycards.betfair.ro:443
[https] myfunds.betfair.ro:443
[https] mypromos.betfair.ro:443
[https] pariuri.betfair.ro:443
[https] partnerships.betfair.ro:443
[http] spb.betfair.ro:80
[https] play.betfair.ro:443
[https] playerprotection.betfair.ro:443
[http] sportsgaming.betfair.ro:80
[https] promotions.betfair.ro:443
[https] register.betfair.ro:443
[https] rus.betfair.ro:443
[https] s.betfair.ro:443
[http] ssc.betfair.ro:80
[https] sco.betfair.ro:443
[https] sib.betfair.ro:443
[https] simulator.betfair.ro:443
[https] smd.betfair.ro:443
[https] smp.betfair.ro:443
[https] smt.betfair.ro:443
[https] spb.betfair.ro:443
[https] sportsgaming.betfair.ro:443
[https] ssc.betfair.ro:443
[https] strandsaus.betfair.ro:443
[https] strands.betfair.ro:443
[https] strandstwine.betfair.ro:443
[https] strandsweave.betfair.ro:443
[https] support.betfair.ro:443
[https] t.betfair.ro:443
[https] t.mail.betfair.ro:443
[http] strandsaus.betfair.ro:80
[http] strands.betfair.ro:80
[http] strandstwine.betfair.ro:80
[http] strandsweave.betfair.ro:80
[https] uk-api.betfair.ro:443
[https] upload.betfair.ro:443
[http] support.betfair.ro:80
[https] usp.betfair.ro:443
[https] vegas.betfair.ro:443
