[cddbp-alt] wormholenetwork.com:8880
[eli] wormholenetwork.com:2087
[gnunet] book.wormholenetwork.com:2086
[gnunet] docs.wormholenetwork.com:2086
[gnunet] wormholenetwork.com:2086
[http] book.wormholenetwork.com:80
[http] docs.wormholenetwork.com:80
[http-proxy] wormholenetwork.com:8080
[https-alt] wormholenetwork.com:8443
[https] wormholenetwork.com:443
[http] wormholenetwork.com:80
[infowave] wormholenetwork.com:2082
[radsec] wormholenetwork.com:2083
