[https] impersonationapp.sup.connect.telenet.be:443
[https] impersonationapp.trg.connect.telenet.be:443
[https] impersonationapp.uat.connect.telenet.be:443
[https] impersonation.edp.connect.telenet.be:443
[https] iot.int.telenet.be:443
[https] iot.telenet.be:443
[https] iot.uat.telenet.be:443
[https] jobs.telenet.be:443
[https] klantenservice.telenet.be:443
[https] kotnet.telenet.be:443
[https] local.slr.entertainment-tools-dev.awscloud.external.telenet.be:443
[https] login.edp.connect.telenet.be:443
[https] login.mail.telenet.be:443
[https] login.preprod.connect.telenet.be:443
[https] logproxy.int.digitalsecurity.telenet.be:443
[https] logproxy.lab.digitalsecurity.telenet.be:443
[https] logproxy.prd.digitalsecurity.telenet.be:443
[http] slr.dev.entertainment-tools-dev.awscloud.external.telenet.be:80
[http] slr.local.entertainment-tools-dev.awscloud.external.telenet.be:80
[http] slr.prod.entertainment-tools-prod.awscloud.external.telenet.be:80
[https] mail.telenet.be:443
[http] smb.telenet.be:80
[https] meldingen.telenet.be:443
[https] mijn-46.telenet.be:443
[https] mijn-4.telenet.be:443
[https] mijncms.telenet.be:443
[https] mijn.telenet.be:443
[https] mkt-custom.telenet.be:443
[https] mobileactivation.telenet.be:443
[https] mobile-gateway.lab.digitalsecurity.telenet.be:443
[https] m.telenet.be:443
[https] mybill.telenet.be:443
[https] mybusinessphone.telenet.be:443
[https] myfreephonebusiness.telenet.be:443
[https] mysecuritypackpro.telenet.be:443
[https] mysettings.cloud.telenet.be:443
[https] mysql06.cloud.telenet.be:443
[https] mywifibusiness.telenet.be:443
[https] netaanleg.telenet.be:443
[https] networkmsg.telenet.be:443
[https] oauth.telenet.be:443
[https] ogone-resources.uat.telenet.be:443
[https] onlinesupport.telenet.be:443
[https] ordertool.telenet.be:443
[http] speedtest.telenet.be:80
[http] splhefvip.cmt.connect.telenet.be:80
[https] pmm.telenet.be:443
[https] portalssl.connectuat.telenet.be:443
[https] press.telenet.be:443
[https] pst.tv.telenet.be:443
