[https] images-ssl-aus.gotinder.com:443
[https] images-ssl-aut.gotinder.com:443
[https] images-ssl-brazil.gotinder.com:443
[https] images-ssl-can.gotinder.com:443
[https] images-ssl-che.gotinder.com:443
[https] images-ssl-col.gotinder.com:443
[https] images-ssl-cze.gotinder.com:443
[https] images-ssl-deu.gotinder.com:443
[https] images-ssl-dnk.gotinder.com:443
[https] images-ssl-ecu.gotinder.com:443
[https] images-ssl-esp.gotinder.com:443
[https] images-ssl-europe.gotinder.com:443
[https] images-ssl-fin.gotinder.com:443
[https] images-ssl-fra.gotinder.com:443
[https] images-ssl-gbr.gotinder.com:443
[https] images-ssl.gotinder.com:443
[https] images-ssl-hkg.gotinder.com:443
[https] images-ssl-india.gotinder.com:443
[https] images-ssl-indonesia.gotinder.com:443
[https] images-ssl-ireland.gotinder.com:443
[https] images-ssl-ita.gotinder.com:443
[https] images-ssl-jpn.gotinder.com:443
[https] images-ssl-mexico.gotinder.com:443
[https] images-ssl-mys.gotinder.com:443
[https] images-ssl-nld.gotinder.com:443
[https] images-ssl-nor.gotinder.com:443
[https] images-ssl-north-carolina.gotinder.com:443
[https] images-ssl-nz.gotinder.com:443
[https] images-ssl-ore.gotinder.com:443
[https] images-ssl-per.gotinder.com:443
[https] images-ssl-phl.gotinder.com:443
[https] images-ssl-poland.gotinder.com:443
[https] images-ssl-prt.gotinder.com:443
[https] images-ssl-rus.gotinder.com:443
[https] images-ssl-sau.gotinder.com:443
[https] images-ssl-sgp.gotinder.com:443
[https] images-ssl-sk.gotinder.com:443
[https] images-ssl-south-america.gotinder.com:443
[https] images-ssl-swe.gotinder.com:443
[https] images-ssl-texas.gotinder.com:443
[https] images-ssl-twn.gotinder.com:443
[https] images-ssl-uae.gotinder.com:443
[https] images-ssl-usa.gotinder.com:443
[https] images-ssl-v2.gotinder.com:443
[https] images-ssl-world.gotinder.com:443
[https] images-ssl-zaf.gotinder.com:443
[https] imageupload-africa.gotinder.com:443
[https] imageupload-asia.gotinder.com:443
[https] imageupload-brazil.gotinder.com:443
[https] imageupload-cloudfront.gotinder.com:443
[https] imageupload-europe.gotinder.com:443
[https] imageupload.gotinder.com:443
[https] imageupload-india.gotinder.com:443
[https] imageupload-indonesia.gotinder.com:443
[https] imageupload-north-america.gotinder.com:443
[https] imageupload-oceania.gotinder.com:443
[https] imageupload-south-america.gotinder.com:443
[https] imageupload-spain.gotinder.com:443
[https] inboxcrm-ssl.gotinder.com:443
[https] insendio-videos.gotinder.com:443
[https] jira.gotinder.com:443
[https] keepalive.a.as1.gotinder.com:443
[https] keepalive.as1.gotinder.com:443
[https] keepalive.b.as1.gotinder.com:443
[https] keepalive.c.as1.gotinder.com:443
[https] keepalive.gotinder.com:443
[https] marketing-images.gotinder.com:443
[https] origin.images.gotinder.com:443
[https] pagp.gotinder.com:443
[http] sp.gotinder.com:80
[https] polls.a.ue1az.gotinder.com:443
[https] polls.b.ue1az.gotinder.com:443
[https] polls.c.ue1az.gotinder.com:443
[https] polls.d.ue1az.gotinder.com:443
[https] preview-global.gotinder.com:443
[https] preview.gotinder.com:443
[https] preview-spain.gotinder.com:443
[https] rapidfireingestionpxy.svc.a.ue1az.gotinder.com:443
[https] rapidfireingestionpxy.svc.b.ue1az.gotinder.com:443
[https] rapidfireingestionpxy.svc.c.ue1az.gotinder.com:443
[https] rapidfireingestionpxy.svc.d.ue1az.gotinder.com:443
[https] rapidfireingestionpxy.ue1az.gotinder.com:443
[https] rapidfirepublishpxy.svc.a.ue1az.gotinder.com:443
[https] rapidfirepublishpxy.svc.b.ue1az.gotinder.com:443
[https] rapidfirepublishpxy.svc.c.ue1az.gotinder.com:443
[https] rapidfirepublishpxy.svc.d.ue1az.gotinder.com:443
[https] rapidfirepublishpxy.ue1az.gotinder.com:443
[https] rapidfirepublish.svc.a.ue1az.gotinder.com:443
[https] rapidfirepublish.svc.b.ue1az.gotinder.com:443
